geography,immigrant_status,total_pop,total_income,total_stir,owner_pop,owner_income,owner_stir,renter_pop,renter_income,renter_stir,renter_owner_gap,city,csd_name
    McMasterville (2457025) MÉ 00000 (  1.2%),Total Immigrant Status,5585.0,111700.0,16.6,4015.0,124500.0,15.4,1570.0,79200.0,19.6,4.200000000000001,Montreal,McMasterville
    McMasterville (2457025) MÉ 00000 (  1.2%),Non-immigrants,5335.0,111900.0,16.5,3790.0,125100.0,15.2,1545.0,79500.0,19.6,4.400000000000002,Montreal,McMasterville
    McMasterville (2457025) MÉ 00000 (  1.2%),Immigrant,250.0,109000.0,17.9,225.0,114000.0,18.0,20.0,56000.0,17.0,-1.0,Montreal,McMasterville
    Otterburn Park (2457030) V 00000 (  2.3%),Total Immigrant Status,8425.0,136400.0,15.5,7585.0,142000.0,14.8,840.0,84800.0,21.1,6.300000000000001,Montreal,Otterburn Park
    Otterburn Park (2457030) V 00000 (  2.3%),Non-immigrants,7850.0,137600.0,15.2,7050.0,143600.0,14.5,800.0,85600.0,21.3,6.800000000000001,Montreal,Otterburn Park
    Otterburn Park (2457030) V 00000 (  2.3%),Immigrant,575.0,118800.0,18.9,540.0,122400.0,19.0,35.0,64000.0,17.0,-2.0,Montreal,Otterburn Park
    Mont-Saint-Hilaire (2457035) V 00000 (  1.8%),Total Immigrant Status,18190.0,167400.0,15.1,15675.0,180800.0,14.3,2510.0,83300.0,20.5,6.199999999999999,Montreal,Mont-Saint-Hilaire
    Mont-Saint-Hilaire (2457035) V 00000 (  1.8%),Non-immigrants,16925.0,170200.0,14.9,14625.0,183800.0,14.0,2300.0,82900.0,20.5,6.5,Montreal,Mont-Saint-Hilaire
    Mont-Saint-Hilaire (2457035) V 00000 (  1.8%),Immigrant,1265.0,130800.0,18.2,1055.0,139600.0,17.7,215.0,88000.0,20.6,2.900000000000002,Montreal,Mont-Saint-Hilaire
    Beloeil (2457040) V 00000 (  1.6%),Total Immigrant Status,23635.0,125300.0,16.7,18710.0,137800.0,15.2,4925.0,77900.0,22.6,7.400000000000002,Montreal,Beloeil
    Beloeil (2457040) V 00000 (  1.6%),Non-immigrants,21815.0,125300.0,16.6,17195.0,138200.0,14.9,4620.0,77200.0,22.7,7.799999999999999,Montreal,Beloeil
    Beloeil (2457040) V 00000 (  1.6%),Immigrant,1820.0,125600.0,18.6,1510.0,133400.0,17.9,310.0,88000.0,22.2,4.300000000000001,Montreal,Beloeil
    Saint-Mathieu-de-Beloeil (2457045) MÉ 00000 (  0.7%),Total Immigrant Status,2905.0,154400.0,15.9,2545.0,163400.0,14.6,360.0,90400.0,25.2,10.6,Montreal,Saint-Mathieu-de-Beloeil
    Saint-Mathieu-de-Beloeil (2457045) MÉ 00000 (  0.7%),Non-immigrants,2770.0,153600.0,15.9,2420.0,162600.0,14.5,345.0,91600.0,25.0,10.5,Montreal,Saint-Mathieu-de-Beloeil
    Saint-Mathieu-de-Beloeil (2457045) MÉ 00000 (  0.7%),Immigrant,140.0,172000.0,17.0,130.0,180000.0,16.0,0.0,,,,Montreal,Saint-Mathieu-de-Beloeil
    Brossard (2458007) V 00000 (  2.6%),Total Immigrant Status,87410.0,126200.0,18.3,64250.0,140800.0,16.6,23155.0,85900.0,23.0,6.399999999999999,Montreal,Brossard
